lat,lon,rainfall_mm_per_day,elevation_m,slope_percent,soil_type,built_up_percentage,distance_to_water_body_km,drainage_density,sar_backscatter_coefficient,surface_roughness_index,moisture_index,flood_risk_score,flood_risk_category
31.055771,75.610004,82.51,111.61,22.09,loamy,89.22,0.87,2.11,-24.26,0.219,0.505,0.41,Medium
30.879535,75.859954,163.48,110.22,17.68,clay,0.65,8.06,3.49,-16.49,0.155,0.957,0.44,Medium
30.837098,75.638687,254.25,301.86,24.21,clay,53.62,9.73,1.89,-11.2,0.829,0.619,0.559,Medium
31.030941,75.881829,13.75,113.95,8.68,sandy,23.28,1.01,1.39,-9.11,0.365,0.37,0.248,Low
30.906791,75.974662,194.41,304.57,5.13,clay,16.34,3.79,4.95,-9.0,0.557,0.685,0.472,Medium
31.1104,75.691619,9.63,157.73,8.03,sandy,94.29,8.76,1.57,-8.61,0.396,0.915,0.458,Medium
30.905952,75.698651,168.41,131.37,17.54,clay,39.94,2.19,4.99,-12.26,0.091,0.047,0.351,Medium
31.050978,75.916832,126.65,31.76,11.45,clay,52.91,9.71,4.3,-24.71,0.721,0.682,0.454,Medium
30.90673,75.856385,33.47,217.38,13.61,clay,87.59,2.63,2.5,-20.53,0.913,0.871,0.479,Medium
31.05558,75.843588,45.85,381.26,16.18,clay,53.04,0.01,1.62,-24.51,0.929,0.879,0.423,Medium
30.923006,75.62317,263.4,473.47,2.57,loamy,6.92,7.61,3.83,-21.79,0.475,0.55,0.359,Medium
31.148973,75.769255,63.54,269.65,21.9,sandy,31.17,9.95,3.25,-14.05,0.518,0.121,0.138,Low
30.935234,75.835323,69.03,110.11,2.13,loamy,22.89,9.05,4.3,-23.23,0.238,0.669,0.277,Low
30.852925,75.974206,171.31,236.34,23.54,clay,19.04,0.97,2.16,-14.41,0.467,0.729,0.47,Medium
31.193666,75.639367,120.79,169.65,25.85,sandy,19.02,4.49,2.11,-18.04,0.25,0.923,0.385,Medium
31.14454,75.82013,15.18,499.64,25.08,clay,92.64,8.49,0.83,-12.86,0.214,0.401,0.295,Low
30.951589,75.994124,79.56,392.04,13.65,loamy,95.73,9.95,2.78,-7.04,0.155,0.297,0.356,Medium
31.031672,75.816878,224.39,28.58,17.53,loamy,85.27,1.57,4.8,-23.0,0.186,0.595,0.684,High
30.894082,75.647955,267.09,123.11,17.84,loamy,41.92,5.84,2.61,-1.63,0.204,0.716,0.571,Medium
30.958314,75.868676,90.0,158.09,22.56,sandy,45.83,9.98,4.98,-23.17,0.213,0.265,0.237,Low
31.152346,75.951708,110.86,78.87,25.01,clay,61.17,9.87,3.27,-24.8,0.817,0.299,0.36,Medium
31.175572,75.653716,34.63,53.52,16.6,sandy,60.48,7.18,1.02,-9.14,0.264,0.489,0.367,Medium
31.138441,75.636919,127.07,138.34,0.11,clay,63.71,2.62,3.71,-11.21,0.428,0.01,0.389,Medium
31.153243,75.961571,163.68,417.3,17.48,sandy,12.74,3.08,4.49,-5.1,0.861,0.899,0.374,Medium
